case,1,3,7,15,31,63,127
"binary_tree/CasADi/MimSQP/FwdDynamics",0.242895,0.327746571,0.87765912,3.134358,14.698784,84.355756953,439.010213248
"binary_tree/CasADi/MimSQP/IDMPC",0.2325924,0.321264,0.684391273,2.167253314,10.784461702,68.670977913,485.566051186
"binary_tree/Pinocchio/MimSQP/FwdDynamics",0.4746762,0.240232429,0.679504586,2.333667742,12.233551829,76.128010317,436.81524866
"binary_tree/Pinocchio/MimSQP/IDMPC",0.120417,0.208974421,0.62917305,2.091084036,11.709676867,75.179004242,549.586418467
"binary_tree/TetraPGA/MimSQP/FwdDynamics",1.0259119,1.405539714,2.559038267,2.488080687,12.672604441,75.815519619,433.245514932
"binary_tree/TetraPGA/MimSQP/IDMPC",0.1161722,0.206487368,0.61211605,2.09188592,11.232007433,72.805253419,530.322958964
